ZIP Code,County,SCAN Affirm,SCAN Inspired,SAN Allied,SCAN Strive ,SCAN Balance 
91011,Los Angeles,Yes,Yes,Yes,Yes,Yes
91012,Los Angeles,Yes,Yes,Yes,Yes,Yes
91016,Los Angeles,Yes,Yes,Yes,Yes,Yes
91017,Los Angeles,Yes,Yes,Yes,Yes,Yes
91020,Los Angeles,Yes,Yes,Yes,Yes,Yes
91021,Los Angeles,Yes,Yes,Yes,Yes,Yes
91023,Los Angeles,Yes,Yes,Yes,Yes,Yes
91024,Los Angeles,Yes,Yes,Yes,Yes,Yes
91025,Los Angeles,Yes,Yes,Yes,Yes,Yes
91030,Los Angeles,Yes,Yes,Yes,Yes,Yes
91031,Los Angeles,Yes,Yes,Yes,Yes,Yes
91040,Los Angeles,Yes,Yes,Yes,Yes,Yes
91041,Los Angeles,Yes,Yes,Yes,Yes,Yes
91042,Los Angeles,Yes,Yes,Yes,Yes,Yes
91043,Los Angeles,Yes,Yes,Yes,Yes,Yes
91046,Los Angeles,Yes,Yes,Yes,Yes,Yes
91066,Los Angeles,Yes,Yes,Yes,Yes,Yes
91077,Los Angeles,Yes,Yes,Yes,Yes,Yes
91101,Los Angeles,Yes,Yes,Yes,Yes,Yes
91102,Los Angeles,Yes,Yes,Yes,Yes,Yes
91103,Los Angeles,Yes,Yes,Yes,Yes,Yes
91104,Los Angeles,Yes,Yes,Yes,Yes,Yes
91105,Los Angeles,Yes,Yes,Yes,Yes,Yes
91106,Los Angeles,Yes,Yes,Yes,Yes,Yes
91107,Los Angeles,Yes,Yes,Yes,Yes,Yes
91108,Los Angeles,Yes,Yes,Yes,Yes,Yes
91109,Los Angeles,Yes,Yes,Yes,Yes,Yes
91110,Los Angeles,Yes,Yes,Yes,Yes,Yes
91114,Los Angeles,Yes,Yes,Yes,Yes,Yes
91115,Los Angeles,Yes,Yes,Yes,Yes,Yes
91116,Los Angeles,Yes,Yes,Yes,Yes,Yes
91117,Los Angeles,Yes,Yes,Yes,Yes,Yes
91118,Los Angeles,Yes,Yes,Yes,Yes,Yes
91121,Los Angeles,Yes,Yes,Yes,Yes,Yes
91123,Los Angeles,Yes,Yes,Yes,Yes,Yes
91124,Los Angeles,Yes,Yes,Yes,Yes,Yes
91125,Los Angeles,Yes,Yes,Yes,Yes,Yes
91126,Los Angeles,Yes,Yes,Yes,Yes,Yes
91129,Los Angeles,Yes,Yes,Yes,Yes,Yes
91131,Los Angeles,Yes,Yes,Yes,Yes,Yes
91182,Los Angeles,Yes,Yes,Yes,Yes,Yes
91184,Los Angeles,Yes,Yes,Yes,Yes,Yes
91185,Los Angeles,Yes,Yes,Yes,Yes,Yes
91188,Los Angeles,Yes,Yes,Yes,Yes,Yes
91189,Los Angeles,Yes,Yes,Yes,Yes,Yes
91191,Los Angeles,Yes,Yes,Yes,Yes,Yes
91199,Los Angeles,Yes,Yes,Yes,Yes,Yes
91201,Los Angeles,Yes,Yes,Yes,Yes,Yes
91202,Los Angeles,Yes,Yes,Yes,Yes,Yes
91203,Los Angeles,Yes,Yes,Yes,Yes,Yes
91204,Los Angeles,Yes,Yes,Yes,Yes,Yes
91205,Los Angeles,Yes,Yes,Yes,Yes,Yes
91206,Los Angeles,Yes,Yes,Yes,Yes,Yes
91207,Los Angeles,Yes,Yes,Yes,Yes,Yes
91208,Los Angeles,Yes,Yes,Yes,Yes,Yes
91209,Los Angeles,Yes,Yes,Yes,Yes,Yes
91210,Los Angeles,Yes,Yes,Yes,Yes,Yes
